Drug_Name,Category,Dosage_Form,Strength,Manufacturer,Indication,Classification
Salicylic Acid,Antifungal,Patch,25mg,Johnson & Johnson,Diarrhea treatment,Over-the-Counter
Metronidazole,Diuretic,Topical Solution,100mcg,AstraZeneca,Edema and hypertension,Prescription
Gabapentin,Thyroid Hormone,Patch,150mg,Johnson & Johnson,Bacterial infections treatment,Prescription
Montelukast,Anticonvulsant,Liquid,0.25mg,AstraZeneca,GERD and peptic ulcer disease,Prescription
Dexamethasone,Beta Blocker,Suppository,150mg,Eli Lilly,Anxiety and panic disorders,Prescription
Pantoprazole,Antidepressant/SSRI,Liquid,10mg,Merck,High cholesterol management,Prescription
Miconazole,Decongestant,Gel,150mg,Bayer,Insomnia and sleep aid,Over-the-Counter
Bismuth Subsalicylate,Antifungal,Powder,20mg,Pfizer,Pain relief and fever reduction,Over-the-Counter
Pregabalin,Diuretic,Tablet,500mg,Abbott,Type 2 diabetes management,Prescription
Metronidazole,Antidiabetic,IV Infusion,50mcg,Abbott,Inflammation and autoimmune disorders,Prescription
Cetirizine,Antiplatelet,Powder,200mg,Reckitt,Allergic rhinitis and hives,Over-the-Counter
Docusate Sodium,Antiflatulent,Powder,1%,Unilever,Blood clot prevention,Over-the-Counter
Clotrimazole,Antidiarrheal,Tablet,2%,Prestige Brands,Minor cuts and skin protection,Over-the-Counter
Atorvastatin,Antiplatelet,Inhaler,5mg,Roche,Hypertension and angina,Prescription
Metformin,Antiplatelet,Injection,200mg,Pfizer,Type 2 diabetes management,Prescription
Losartan,ACE Inhibitor,Tablet,0.25mg,Boehringer Ingelheim,Depression and anxiety disorders,Prescription
Acetaminophen,Antiemetic,Drops,5mg,Reckitt,GERD and peptic ulcer,Over-the-Counter
Levothyroxine,Diuretic,Sublingual Tablet,0.25mg,Boehringer Ingelheim,Inflammation and autoimmune disorders,Prescription
Alprazolam,Thyroid Hormone,Nasal Spray,400mcg,Bristol-Myers Squibb,Epilepsy and neuropathic pain,Prescription
Fluoxetine,Calcium Channel Blocker,Patch,500mg,GlaxoSmithKline,Asthma and bronchospasm,Prescription
Pantoprazole,Statin,Inhaler,1000mg,Bristol-Myers Squibb,Heart attack and stroke prevention,Prescription
Clotrimazole,Sleep Aid,Gel,325mg,GSK,Minor cuts and skin protection,Over-the-Counter
Warfarin,ACE Inhibitor,Suppository,1mg,Merck,Depression and anxiety disorders,Prescription
Ciprofloxacin,Leukotriene Inhibitor,IV Infusion,0.25mg,Merck,Hypertension and angina,Prescription
Gabapentin,ACE Inhibitor,Patch,10mg,Eli Lilly,Asthma and bronchospasm,Prescription
Azithromycin,Antiplatelet,Inhaler,50mg,Pfizer,Depression and anxiety disorders,Prescription
Doxycycline,PPI,Topical Solution,200mcg,AstraZeneca,Bacterial infections treatment,Prescription
Pantoprazole,Antifungal,Patch,25mg,Eli Lilly,Inflammation and autoimmune disorders,Prescription
Pseudoephedrine,Cough Suppressant,Capsule,5%,Bayer,Minor wound infection prevention,Over-the-Counter
Lisinopril,ARB,Injection,0.5mg,GlaxoSmithKline,Asthma and allergic rhinitis,Prescription
Losartan,Statin,Injection,200mcg,AstraZeneca,Hypertension management,Prescription
Pregabalin,Antifungal,Injection,200mcg,AstraZeneca,Hypertension management,Prescription
Benzoyl Peroxide,Skin Protectant,Chewable Tablet,325mg,3M Healthcare,Cough suppression,Over-the-Counter
Levothyroxine,PPI,Capsule,500mg,AstraZeneca,Epilepsy and neuropathic pain,Prescription
Meclizine,Laxative,Gel,5mg,P&G,Nasal congestion relief,Over-the-Counter
Guaifenesin,Antiplatelet,Ointment,20mg,Sanofi,Constipation relief,Over-the-Counter
Simethicone,Topical Anesthetic,Powder,10mg,Novartis,Insomnia and sleep aid,Over-the-Counter
Bismuth Subsalicylate,Topical Antibiotic,Chewable Tablet,20mg,Prestige Brands,Allergic rhinitis and hives,Over-the-Counter
Dexamethasone,Anxiolytic/Benzodiazepine,Patch,5mg,GlaxoSmithKline,Hypertension management,Prescription
Levothyroxine,Corticosteroid,IV Infusion,1mg,Gilead Sciences,Fungal infections treatment,Prescription
Aspirin,Topical Antibiotic,Spray,100mg,3M Healthcare,Blood clot prevention,Over-the-Counter
Gabapentin,Calcium Channel Blocker,Capsule,20mg,Pfizer,Hypertension and heart failure,Prescription
Sertraline,Thyroid Hormone,Injection,75mg,Bristol-Myers Squibb,Type 2 diabetes management,Prescription
Meclizine,Antifungal,Patch,100mg,3M Healthcare,Minor pain and itching relief,Over-the-Counter
Miconazole,Decongestant,Liquid,250mg,Prestige Brands,Minor pain and itching relief,Over-the-Counter
Benzoyl Peroxide,Antifungal,Patch,150mg,Bayer,Diarrhea treatment,Over-the-Counter
Loratadine,Topical Antibiotic,Gel,1%,Pfizer,Acne treatment,Over-the-Counter
Pregabalin,Leukotriene Inhibitor,Tablet,20mg,Pfizer,Fungal infections treatment,Prescription
Hydrocodone,Anticonvulsant,Inhaler,1mg,Novartis,Blood clot prevention,Prescription
Cetirizine,Antacid/H2 Blocker,Cream,125mg,GSK,Skin inflammation and itching,Over-the-Counter
Calcium Carbonate,Laxative,Chewable Tablet,150mg,Johnson & Johnson,Chest congestion and mucus relief,Over-the-Counter
Loperamide,Cough Suppressant,Spray,325mg,Sanofi,Pain relief and fever reduction,Over-the-Counter
Prednisone,ARB,Nasal Spray,250mg,Novartis,Hypertension and heart failure,Prescription
Albuterol,Anticoagulant,Inhaler,200mcg,AstraZeneca,Hypertension and angina,Prescription
Magnesium Hydroxide,Acne Treatment,Gel,500mg,3M Healthcare,Blood clot prevention,Over-the-Counter
Oxycodone,ACE Inhibitor,Nasal Spray,200mcg,Pfizer,Hypertension and angina,Prescription
Fluoxetine,Leukotriene Inhibitor,Sublingual Tablet,50mg,Eli Lilly,Hypothyroidism treatment,Prescription
Pregabalin,PPI,Inhaler,250mg,Pfizer,Asthma and allergic rhinitis,Prescription
Lisinopril,ACE Inhibitor,Topical Solution,250mg,GlaxoSmithKline,Moderate to severe pain management,Prescription
Azithromycin,Antiplatelet,Tablet,0.5mg,Novartis,Hypertension and angina,Prescription
Loperamide,Antiplatelet,Cream,250mg,Bayer,Motion sickness and nausea,Over-the-Counter
Pseudoephedrine,Topical Corticosteroid,Chewable Tablet,400mg,Unilever,Nasal congestion relief,Over-the-Counter
Pseudoephedrine,Cough Suppressant,Powder,1%,Unilever,Diarrhea treatment,Over-the-Counter
Pseudoephedrine,Topical Corticosteroid,Chewable Tablet,400mg,GSK,Allergic rhinitis and hives,Over-the-Counter
Azithromycin,Antibiotic,Injection,20mg,Johnson & Johnson,Hypertension and heart failure,Prescription
Losartan,Anxiolytic/Benzodiazepine,Capsule,200mcg,Boehringer Ingelheim,Hypertension and heart failure,Prescription
Famotidine,Acne Treatment,Tablet,5%,Bayer,Motion sickness and nausea,Over-the-Counter
Sertraline,Beta Blocker,Tablet,25mg,Bristol-Myers Squibb,Anxiety and panic disorders,Prescription
Pregabalin,Corticosteroid,Inhaler,20mg,Boehringer Ingelheim,Asthma and allergic rhinitis,Prescription
Losartan,Beta Blocker,Topical Solution,1mg,Eli Lilly,Anxiety and panic disorders,Prescription
Cetirizine,Antiemetic,Liquid,5mg,Reckitt,GERD and peptic ulcer,Over-the-Counter
Benzoyl Peroxide,Topical Anesthetic,Chewable Tablet,100mg,Bayer,Chest congestion and mucus relief,Over-the-Counter
Naproxen,Antihistamine,Cream,250mg,GSK,Minor pain and itching relief,Over-the-Counter
Hydrocortisone Cream,Antacid/H2 Blocker,Drops,125mg,GSK,Allergic rhinitis and hives,Over-the-Counter
Atorvastatin,Leukotriene Inhibitor,Extended Release Tablet,1mg,Johnson & Johnson,Bacterial infections treatment,Prescription
Simethicone,Antidiarrheal,Chewable Tablet,50mg,3M Healthcare,Minor pain and itching relief,Over-the-Counter
Aluminum Hydroxide,Decongestant,Drops,25mg,Chattem,Acne treatment,Over-the-Counter
Omeprazole,Topical Anesthetic,Lozenge,500mg,Pfizer,Pain relief and fever reduction,Over-the-Counter
Cetirizine,Antiemetic,Spray,5%,P&G,Cough suppression,Over-the-Counter
Calcium Carbonate,Acne Treatment,Drops,200mg,Johnson & Johnson,Acne treatment,Over-the-Counter
Oxycodone,Antiplatelet,Liquid,25mg,Novartis,Asthma and bronchospasm,Prescription
Aluminum Hydroxide,Decongestant,Powder,250mg,Sanofi,Heartburn and acid reflux,Over-the-Counter
Metronidazole,PPI,Topical Solution,200mg,Gilead Sciences,Hypothyroidism treatment,Prescription
Losartan,Calcium Channel Blocker,Patch,2mg,Amgen,Edema and hypertension,Prescription
Ciprofloxacin,ACE Inhibitor,Liquid,10mg,Abbott,Hypertension and heart failure,Prescription
Dextromethorphan,Antacid/H2 Blocker,Patch,250mg,Unilever,Minor wound infection prevention,Over-the-Counter
Prednisone,PPI,Liquid,200mcg,Abbott,Bacterial infections treatment,Prescription
Diphenhydramine,Skin Protectant,Drops,325mg,Unilever,Chest congestion and mucus relief,Over-the-Counter
Atorvastatin,Beta Blocker,Tablet,1mg,Merck,GERD and peptic ulcer disease,Prescription
Amlodipine,Antidiabetic,Liquid,5mg,Roche,Hypertension and heart failure,Prescription
Omeprazole,Expectorant,Cream,50mg,Bayer,Pain relief and fever reduction,Over-the-Counter
Loratadine,Antidiarrheal,Lozenge,50mg,Pfizer,Heartburn and acid reflux,Over-the-Counter
Ranitidine,Topical Antibiotic,Cream,20mg,Novartis,Blood clot prevention,Over-the-Counter
Losartan,Diuretic,Patch,75mg,Gilead Sciences,Heart attack and stroke prevention,Prescription
Diphenhydramine,Topical Anesthetic,Capsule,250mg,Johnson & Johnson,Minor wound infection prevention,Over-the-Counter
Calcium Carbonate,Antacid/PPI,Patch,10mg,Bayer,Minor wound infection prevention,Over-the-Counter
Alprazolam,Opioid Analgesic,Sublingual Tablet,100mg,Merck,GERD and peptic ulcer disease,Prescription
Doxycycline,Corticosteroid,Extended Release Tablet,2mg,Sanofi,Inflammation and autoimmune disorders,Prescription
Omeprazole,Antidiarrheal,Spray,200mg,3M Healthcare,Motion sickness and nausea,Over-the-Counter
Furosemide,Diuretic,Suppository,100mcg,Pfizer,Moderate to severe pain management,Prescription
Amlodipine,Diuretic,Topical Solution,50mcg,Bristol-Myers Squibb,Edema and hypertension,Prescription
Guaifenesin,Analgesic,Lozenge,100mg,Bayer,Acne treatment,Over-the-Counter
Loperamide,Antihistamine,Spray,100mg,Pfizer,Motion sickness and nausea,Over-the-Counter
Loratadine,Antiplatelet,Liquid,100mg,Bayer,Pain relief and fever reduction,Over-the-Counter
Amlodipine,Bronchodilator,Suppository,50mg,Abbott,Heart attack and stroke prevention,Prescription
Clotrimazole,Topical Corticosteroid,Chewable Tablet,20mg,P&G,Constipation relief,Over-the-Counter
Ranitidine,Antacid/PPI,Patch,20mg,Johnson & Johnson,Motion sickness and nausea,Over-the-Counter
Furosemide,Statin,Inhaler,0.5mg,Roche,Hypertension management,Prescription
Sertraline,Opioid Analgesic,Sublingual Tablet,250mg,Novartis,Asthma and allergic rhinitis,Prescription
Simethicone,Topical Anesthetic,Patch,25mg,Unilever,Fungal skin infections,Over-the-Counter
Atorvastatin,ACE Inhibitor,Capsule,200mg,Amgen,Heart attack and stroke prevention,Prescription
Docusate Sodium,Antacid/H2 Blocker,Lozenge,150mg,Sanofi,Heartburn and acid reflux,Over-the-Counter
Dextromethorphan,Antiplatelet,Spray,150mg,Sanofi,GERD and peptic ulcer,Over-the-Counter
Alprazolam,Thyroid Hormone,Sublingual Tablet,400mcg,Abbott,Asthma and allergic rhinitis,Prescription
Loratadine,Antacid/H2 Blocker,Drops,400mg,Pfizer,Diarrhea treatment,Over-the-Counter
Gabapentin,Thyroid Hormone,Patch,10mg,Eli Lilly,Fungal infections treatment,Prescription
Hydrocortisone Cream,Skin Protectant,Spray,100mg,Prestige Brands,GERD and peptic ulcer,Over-the-Counter
Loperamide,Expectorant,Chewable Tablet,125mg,P&G,Fungal skin infections,Over-the-Counter
Calcium Carbonate,Antiemetic,Gel,250mg,Unilever,Fungal skin infections,Over-the-Counter
Calcium Carbonate,Sleep Aid,Ointment,1%,Novartis,Acne treatment,Over-the-Counter
Ibuprofen,Topical Corticosteroid,Spray,5mg,Novartis,Pain relief and fever reduction,Over-the-Counter
Metformin,Anticoagulant,Sublingual Tablet,20mg,Merck,Inflammation and autoimmune disorders,Prescription
Acetaminophen,Antacid/PPI,Ointment,5mg,3M Healthcare,Allergic rhinitis and hives,Over-the-Counter
Amlodipine,Anxiolytic/Benzodiazepine,Capsule,1000mg,Johnson & Johnson,Asthma and allergic rhinitis,Prescription
Hydrocortisone Cream,Antihistamine,Tablet,150mg,Novartis,Minor cuts and skin protection,Over-the-Counter
Furosemide,Bronchodilator,Patch,1000mg,Merck,Epilepsy and neuropathic pain,Prescription
Clopidogrel,Opioid Analgesic,Extended Release Tablet,1000mg,AstraZeneca,Depression and anxiety disorders,Prescription
Guaifenesin,Sleep Aid,Powder,5mg,GSK,Heartburn and indigestion,Over-the-Counter
Acetaminophen,Antidiarrheal,Liquid,500mg,Unilever,Fungal skin infections,Over-the-Counter
Metoprolol,Opioid Analgesic,IV Infusion,250mg,GlaxoSmithKline,High cholesterol management,Prescription
Metoprolol,Antiplatelet,Inhaler,500mg,Johnson & Johnson,Blood clot prevention,Prescription
Azithromycin,Diuretic,Capsule,2mg,Gilead Sciences,Depression and anxiety disorders,Prescription
Warfarin,Thyroid Hormone,Extended Release Tablet,75mg,Bristol-Myers Squibb,Anxiety and panic disorders,Prescription
Dextromethorphan,Antiemetic,Liquid,200mg,Johnson & Johnson,Insomnia and sleep aid,Over-the-Counter
Dexamethasone,Corticosteroid,Inhaler,200mg,Novartis,Hypertension and heart failure,Prescription
Montelukast,Corticosteroid,Patch,25mg,Amgen,Depression and anxiety disorders,Prescription
Escitalopram,Anticoagulant,Nasal Spray,100mg,Roche,Asthma and allergic rhinitis,Prescription
Simethicone,Topical Anesthetic,Ointment,400mg,Bayer,GERD and peptic ulcer,Over-the-Counter
Trimethoprim,Calcium Channel Blocker,Sublingual Tablet,25mg,AstraZeneca,GERD and peptic ulcer disease,Prescription
Azithromycin,Antifungal,Liquid,5mg,Eli Lilly,Anxiety and panic disorders,Prescription
Ibuprofen,Antiflatulent,Drops,325mg,Chattem,Constipation relief,Over-the-Counter
Ranitidine,Topical Corticosteroid,Powder,100mg,Novartis,Pain relief and fever reduction,Over-the-Counter
Aluminum Hydroxide,Antacid/PPI,Liquid,20mg,GSK,Blood clot prevention,Over-the-Counter
Pseudoephedrine,Antihistamine,Lozenge,25mg,Chattem,Heartburn and acid reflux,Over-the-Counter
Aluminum Hydroxide,Topical Anesthetic,Cream,5mg,3M Healthcare,Fungal skin infections,Over-the-Counter
Naproxen,Topical Anesthetic,Chewable Tablet,250mg,GSK,GERD and peptic ulcer,Over-the-Counter
Gabapentin,PPI,Extended Release Tablet,100mg,Sanofi,Inflammation and autoimmune disorders,Prescription
Bacitracin,Topical Anesthetic,Drops,250mg,Unilever,Diarrhea treatment,Over-the-Counter
Pantoprazole,Opioid Analgesic,Inhaler,20mg,Johnson & Johnson,Asthma and bronchospasm,Prescription
Doxycycline,Antiplatelet,Capsule,1000mg,Abbott,Hypertension management,Prescription
Aspirin,Antiflatulent,Patch,2%,Reckitt,Fungal skin infections,Over-the-Counter
Clindamycin,Leukotriene Inhibitor,Tablet,250mg,Gilead Sciences,GERD and peptic ulcer disease,Prescription
Clopidogrel,Statin,Tablet,25mg,Eli Lilly,GERD and peptic ulcer disease,Prescription
Metoprolol,ACE Inhibitor,Nasal Spray,2mg,Johnson & Johnson,Hypertension management,Prescription
Aspirin,Sleep Aid,Cream,5mg,Novartis,Heartburn and indigestion,Over-the-Counter
Pseudoephedrine,Laxative,Capsule,200mg,Johnson & Johnson,Gas and bloating relief,Over-the-Counter
Loratadine,Antidiarrheal,Tablet,10mg,3M Healthcare,Minor pain and itching relief,Over-the-Counter
Loperamide,Laxative,Cream,250mg,Bayer,Cough suppression,Over-the-Counter
Warfarin,Anticoagulant,Nasal Spray,1mg,Abbott,Hypertension and angina,Prescription
Trimethoprim,Beta Blocker,Inhaler,100mg,GlaxoSmithKline,Asthma and allergic rhinitis,Prescription
Fluoxetine,Anxiolytic/Benzodiazepine,Tablet,50mcg,AstraZeneca,Bacterial infections treatment,Prescription
Simethicone,Sleep Aid,Powder,20mg,Pfizer,Blood clot prevention,Over-the-Counter
Escitalopram,Calcium Channel Blocker,Tablet,200mcg,Merck,Hypertension management,Prescription
Famotidine,Antihistamine,Patch,5mg,P&G,Minor cuts and skin protection,Over-the-Counter
Clotrimazole,Antacid/PPI,Capsule,200mg,Prestige Brands,Blood clot prevention,Over-the-Counter
Calcium Carbonate,Antihistamine,Drops,5%,GSK,Skin inflammation and itching,Over-the-Counter
Sertraline,Statin,Nasal Spray,1000mg,Eli Lilly,Inflammation and autoimmune disorders,Prescription
Escitalopram,Antidiabetic,Extended Release Tablet,5mg,GlaxoSmithKline,Heart attack and stroke prevention,Prescription
Aspirin,Sleep Aid,Lozenge,200mg,Chattem,Minor wound infection prevention,Over-the-Counter
Benzoyl Peroxide,Topical Antibiotic,Chewable Tablet,150mg,Johnson & Johnson,Minor pain and itching relief,Over-the-Counter
Azithromycin,Antidiabetic,Inhaler,100mg,Roche,Inflammation and autoimmune disorders,Prescription
Gabapentin,Anticoagulant,Tablet,10mg,Amgen,GERD and peptic ulcer disease,Prescription
Metformin,Antidiabetic,Injection,20mg,Abbott,Type 2 diabetes management,Prescription
Neosporin,Cough Suppressant,Chewable Tablet,10mg,Johnson & Johnson,Acne treatment,Over-the-Counter
Alprazolam,Antidepressant/SSRI,Tablet,250mg,Pfizer,Edema and hypertension,Prescription
Doxycycline,Bronchodilator,Liquid,0.5mg,Pfizer,Epilepsy and neuropathic pain,Prescription
Trimethoprim,ACE Inhibitor,Capsule,20mg,Novartis,Edema and hypertension,Prescription
Bismuth Subsalicylate,Antifungal,Chewable Tablet,325mg,Johnson & Johnson,Heartburn and acid reflux,Over-the-Counter
Metformin,Anticonvulsant,Sublingual Tablet,1000mg,Pfizer,Depression and anxiety disorders,Prescription
Levothyroxine,Statin,IV Infusion,200mg,Boehringer Ingelheim,Epilepsy and neuropathic pain,Prescription
Pregabalin,Corticosteroid,Nasal Spray,100mcg,Pfizer,Bacterial infections treatment,Prescription
Neosporin,Antacid/H2 Blocker,Spray,400mg,Bayer,Minor pain and itching relief,Over-the-Counter
Lisinopril,Thyroid Hormone,Topical Solution,25mg,Bristol-Myers Squibb,Hypothyroidism treatment,Prescription
Guaifenesin,Skin Protectant,Spray,325mg,Reckitt,Cough suppression,Over-the-Counter
Diphenhydramine,Topical Antibiotic,Ointment,5mg,Sanofi,Heartburn and acid reflux,Over-the-Counter
Metoprolol,Anxiolytic/Benzodiazepine,IV Infusion,200mg,Pfizer,Moderate to severe pain management,Prescription
Trimethoprim,Antiplatelet,Sublingual Tablet,250mg,Gilead Sciences,Depression and anxiety disorders,Prescription
Sertraline,Antibiotic,Injection,100mcg,Abbott,Hypertension and heart failure,Prescription
Gabapentin,Statin,Sublingual Tablet,100mcg,Bristol-Myers Squibb,Blood clot prevention,Prescription
Metoprolol,Antibiotic,Sublingual Tablet,150mg,GlaxoSmithKline,High cholesterol management,Prescription
Ibuprofen,Decongestant,Drops,200mg,Reckitt,Skin inflammation and itching,Over-the-Counter
Ciprofloxacin,ARB,Tablet,10mg,Merck,Asthma and bronchospasm,Prescription
Benzoyl Peroxide,Cough Suppressant,Chewable Tablet,150mg,3M Healthcare,Heartburn and indigestion,Over-the-Counter
Lisinopril,Calcium Channel Blocker,Capsule,5mg,Abbott,Asthma and bronchospasm,Prescription
Omeprazole,Expectorant,Drops,100mg,Novartis,Chest congestion and mucus relief,Over-the-Counter
Clotrimazole,Decongestant,Tablet,5mg,GSK,Constipation relief,Over-the-Counter
Azithromycin,Beta Blocker,Injection,400mcg,Pfizer,Asthma and allergic rhinitis,Prescription
Montelukast,Antidepressant/SSRI,Topical Solution,100mcg,AstraZeneca,High cholesterol management,Prescription
Alprazolam,Antifungal,Nasal Spray,1000mg,Abbott,Moderate to severe pain management,Prescription
Dexamethasone,Statin,Liquid,10mg,Boehringer Ingelheim,Heart attack and stroke prevention,Prescription
Benzoyl Peroxide,Antacid/PPI,Tablet,150mg,GSK,Diarrhea treatment,Over-the-Counter
Magnesium Hydroxide,Topical Antibiotic,Gel,20mg,Reckitt,Insomnia and sleep aid,Over-the-Counter
Alprazolam,Anticonvulsant,Patch,75mg,Novartis,Hypertension and angina,Prescription
Loperamide,Topical Anesthetic,Gel,50mg,P&G,Minor pain and itching relief,Over-the-Counter
Hydrocortisone Cream,Laxative,Ointment,100mg,Reckitt,Allergic rhinitis and hives,Over-the-Counter
Warfarin,Opioid Analgesic,Nasal Spray,100mcg,Novartis,Edema and hypertension,Prescription
Pantoprazole,Opioid Analgesic,Injection,75mg,Amgen,Bacterial infections treatment,Prescription
Hydrocodone,Antibiotic,Capsule,400mcg,Pfizer,Blood clot prevention,Prescription
Hydrocortisone Cream,Antacid/PPI,Capsule,100mg,Chattem,Heartburn and acid reflux,Over-the-Counter
Clindamycin,Beta Blocker,Inhaler,250mg,Merck,Asthma and allergic rhinitis,Prescription
Acetaminophen,Skin Protectant,Ointment,10mg,Pfizer,Chest congestion and mucus relief,Over-the-Counter
Dexamethasone,Antifungal,Injection,25mg,Roche,Hypertension and angina,Prescription
Omeprazole,Analgesic,Ointment,10mg,Johnson & Johnson,Acne treatment,Over-the-Counter
Hydrocortisone Cream,Antiemetic,Capsule,200mg,Chattem,Fungal skin infections,Over-the-Counter
Lidocaine Cream,Sleep Aid,Liquid,50mg,Johnson & Johnson,Constipation relief,Over-the-Counter
Escitalopram,Antidiabetic,Capsule,75mg,Roche,Asthma and allergic rhinitis,Prescription
Benzoyl Peroxide,Antiplatelet,Gel,100mg,Unilever,Nasal congestion relief,Over-the-Counter
Lisinopril,Antidepressant/SSRI,Tablet,20mg,Sanofi,Moderate to severe pain management,Prescription
Acetaminophen,Topical Anesthetic,Liquid,2%,Reckitt,Heartburn and acid reflux,Over-the-Counter
Ibuprofen,Expectorant,Tablet,400mg,Unilever,Fungal skin infections,Over-the-Counter
Aspirin,Topical Anesthetic,Chewable Tablet,1%,Chattem,Cough suppression,Over-the-Counter
Bacitracin,Antidiarrheal,Tablet,1%,Prestige Brands,Minor pain and itching relief,Over-the-Counter
Aluminum Hydroxide,Laxative,Ointment,150mg,GSK,Minor pain and itching relief,Over-the-Counter
Pseudoephedrine,Topical Antibiotic,Gel,1%,Sanofi,Allergic rhinitis and hives,Over-the-Counter
Cetirizine,Acne Treatment,Spray,400mg,Novartis,Blood clot prevention,Over-the-Counter
Metoprolol,Anxiolytic/Benzodiazepine,Sublingual Tablet,1000mg,GlaxoSmithKline,Hypertension management,Prescription
Benzoyl Peroxide,Cough Suppressant,Ointment,250mg,GSK,Fungal skin infections,Over-the-Counter
Atorvastatin,Leukotriene Inhibitor,Tablet,75mg,Bristol-Myers Squibb,Edema and hypertension,Prescription
Guaifenesin,Antacid,Cream,10mg,Bayer,Minor cuts and skin protection,Over-the-Counter
Metronidazole,Antibiotic,Tablet,10mg,Johnson & Johnson,Blood clot prevention,Prescription
Ciprofloxacin,ACE Inhibitor,Capsule,25mg,AstraZeneca,Asthma and allergic rhinitis,Prescription
Levothyroxine,Antiplatelet,Tablet,5mg,AstraZeneca,High cholesterol management,Prescription
Guaifenesin,Decongestant,Capsule,150mg,Chattem,Heartburn and indigestion,Over-the-Counter
Lisinopril,Anticonvulsant,IV Infusion,75mg,Novartis,Hypertension and angina,Prescription
Guaifenesin,Analgesic,Gel,325mg,Bayer,Constipation relief,Over-the-Counter
Famotidine,Topical Antibiotic,Tablet,50mg,Pfizer,Fungal skin infections,Over-the-Counter
Bismuth Subsalicylate,Antacid,Spray,125mg,Reckitt,Motion sickness and nausea,Over-the-Counter
Diphenhydramine,Topical Corticosteroid,Patch,1%,Novartis,Heartburn and acid reflux,Over-the-Counter
Naproxen,Topical Anesthetic,Spray,20mg,Pfizer,Minor cuts and skin protection,Over-the-Counter
Ibuprofen,Antidiarrheal,Gel,325mg,Pfizer,Minor wound infection prevention,Over-the-Counter
Pseudoephedrine,Cough Suppressant,Drops,150mg,Sanofi,Insomnia and sleep aid,Over-the-Counter
Amlodipine,Statin,Inhaler,500mg,Amgen,Fungal infections treatment,Prescription
Oxycodone,Antidepressant/SSRI,Tablet,500mg,AstraZeneca,Type 2 diabetes management,Prescription
Lisinopril,PPI,Sublingual Tablet,400mcg,Novartis,Fungal infections treatment,Prescription
Salicylic Acid,Decongestant,Ointment,250mg,GSK,Allergic rhinitis and hives,Over-the-Counter
Amlodipine,Anxiolytic/Benzodiazepine,IV Infusion,75mg,Sanofi,Bacterial infections treatment,Prescription
Warfarin,ACE Inhibitor,Injection,1mg,Boehringer Ingelheim,Type 2 diabetes management,Prescription
Calcium Carbonate,Antifungal,Drops,2%,GSK,Allergic rhinitis and hives,Over-the-Counter
Benzoyl Peroxide,Antacid,Capsule,200mg,Bayer,Heartburn and acid reflux,Over-the-Counter
Acetaminophen,Expectorant,Tablet,150mg,Reckitt,Heartburn and indigestion,Over-the-Counter
Prednisone,Anticonvulsant,Extended Release Tablet,200mg,Roche,Blood clot prevention,Prescription
Prednisone,Diuretic,Capsule,20mg,Sanofi,Inflammation and autoimmune disorders,Prescription
Losartan,PPI,Liquid,500mg,Roche,Epilepsy and neuropathic pain,Prescription
Furosemide,Diuretic,Sublingual Tablet,200mcg,Merck,Hypertension and heart failure,Prescription
Levothyroxine,Beta Blocker,IV Infusion,50mcg,Bristol-Myers Squibb,GERD and peptic ulcer disease,Prescription
Levothyroxine,Diuretic,Topical Solution,20mg,Merck,Heart attack and stroke prevention,Prescription
Dexamethasone,Statin,Sublingual Tablet,20mg,Sanofi,Hypertension management,Prescription
Escitalopram,PPI,Patch,200mcg,Sanofi,Fungal infections treatment,Prescription
Clotrimazole,Cough Suppressant,Patch,5%,Bayer,Minor pain and itching relief,Over-the-Counter
Clindamycin,Antifungal,Liquid,5mg,Abbott,Depression and anxiety disorders,Prescription
Azithromycin,Anticonvulsant,Topical Solution,250mg,Boehringer Ingelheim,Fungal infections treatment,Prescription
Loratadine,Antacid/H2 Blocker,Tablet,20mg,Johnson & Johnson,Diarrhea treatment,Over-the-Counter
Prednisone,ACE Inhibitor,Inhaler,250mg,Novartis,Epilepsy and neuropathic pain,Prescription
Clotrimazole,Cough Suppressant,Drops,20mg,3M Healthcare,Cough suppression,Over-the-Counter
Clopidogrel,Antidepressant/SSRI,Tablet,0.25mg,Novartis,Hypertension and angina,Prescription
Loratadine,Antiflatulent,Tablet,125mg,Reckitt,Fungal skin infections,Over-the-Counter
Zinc Oxide,Antiplatelet,Liquid,25mg,Chattem,Heartburn and acid reflux,Over-the-Counter
Ibuprofen,Topical Anesthetic,Chewable Tablet,10mg,Unilever,Chest congestion and mucus relief,Over-the-Counter
Aluminum Hydroxide,Antiplatelet,Patch,250mg,GSK,Heartburn and acid reflux,Over-the-Counter
Sertraline,Antidiabetic,Topical Solution,10mg,GlaxoSmithKline,Inflammation and autoimmune disorders,Prescription
Albuterol,Diuretic,Inhaler,0.25mg,Abbott,Type 2 diabetes management,Prescription
Clotrimazole,Antifungal,Lozenge,5%,Sanofi,Allergic rhinitis and hives,Over-the-Counter
Amlodipine,Bronchodilator,Inhaler,150mg,Novartis,Depression and anxiety disorders,Prescription
Meclizine,Sleep Aid,Cream,325mg,Reckitt,Allergic rhinitis and hives,Over-the-Counter
Aspirin,Antacid,Capsule,25mg,Sanofi,Minor cuts and skin protection,Over-the-Counter
Azithromycin,Calcium Channel Blocker,Capsule,50mcg,Roche,Hypertension and heart failure,Prescription
